Name,Symbol,Last
Alkyl Amines Chemicals Ltd,ALKY.NS,"3,110.00"
Astral Poly Technik Ltd,ASPT.NS,"1,125.40"
GMM Pfaudler Ltd,GMMP.NS,"5,590.00"
Aarti Industries Ltd,ARTI.NS,"1,049.00"
Atul Ltd,ATLP.NS,"5,734.00"
Vaibhav Global Ltd,VAIB.NS,"1,680.00"
PI Industries Ltd,PIIL.NS,"1,858.00"
Navin Fluorine International Ltd,NAFL.NS,"1,950.00"
Deepak Nitrite Ltd,DPNT.NS,682
Granules India Ltd,GRAN.NS,313.95
Relaxo Footwears Ltd,RLXO.NS,654.85
